flows	lambda	Time	#OP		n
100		250.0	6655	5413	16
100		333.0	7370	5545	16
100		400.0	8980	6398	16
100		500.0	9805	6454	16
100		600.0	11415	6946	16
100		800.0	14680	7215	16
100		1000.0	16945	7370	16
200		250.0	7170	10820	16
200		333.0	7880	10955	16
200		400.0	9605	12757	16
200		500.0	10205	12816	16
200		600.0	11815	13753	16
200		800.0	15020	14316	16
200		1000.0	17400	14528	16
400		250.0	7565	21859	16
400		333.0	8165	22133	16
400		400.0	9775	25772	16
400		500.0	10545	25970	16
400		600.0	12270	27844	16
400		800.0	15305	28976	16
400		1000.0	17630	29529	16
